										
										
										
										
										
										
2018-06-20 11:06:45	margarita	still hearing that you have no idea	Of course	333.0	{'you': 4.306034482758621}	I'm not sure	332.0	{'you': 12.918103448275863, 'have': 8.763157894736842}	It was good	331.0	{'you': 12.918103448275863, 'have': 8.763157894736842}
2018-06-20 11:06:58	margarita	how do you connect	I'm not sure	332.0	{'how': 54.49090909090909, 'do': 5.763504086107235, 'you': 12.918103448275863}	It was good	331.0	{'how': 54.49090909090909, 'do': 5.763504086107235, 'you': 12.918103448275863}	I really liked it	330.0	{'how': 54.49090909090909, 'do': 5.763504086107235, 'you': 12.918103448275863}
2018-06-20 11:07:14	margarita	oh there's one videos trying to	It was good	331.0	{'one': 4.5, 'to': 6.322784810126583}	I really liked it	330.0	{'one': 4.5, 'to': 6.322784810126583}	Thank you so much	329.0	{'one': 4.5, 'to': 6.322784810126583}
2018-06-20 11:07:20	margarita	hello	Hello	227.0	{'hello': 999.0}	Hey	168.0	{'hello': 499.5}			
2018-06-20 11:07:35	margarita	pickling salt	Solyanka is a Russian soup with pickles, tomatoes, sausages and herbs, and it's delicious	15.0	{'pickl': 666.0}						
										
2018-06-20 11:19:07	margarita	it's like when she	I'm not sure	332.0	{'like': 127.12258194228659}	It was good	331.0	{'like': 127.12258194228659}	I really liked it	330.0	{'like': 159.92591180701083}
2018-06-20 11:19:33	margarita	i wouldn't even if i record something like if i ask for something if you're far as she wants me to fill out afterwards was looking for something and yeah	It was good	331.0	{'i': 68.4851652892562, 'like': 127.12258194228659, 'ask': 573.346016646849, 'to': 19.648654061849065, 'wa': 440.53125, 'was': 220.265625}	I really liked it	330.0	{'i': 102.7277479338843, 'like': 159.92591180701083, 'ask': 573.346016646849, 'to': 19.648654061849065, 'wa': 330.3984375, 'was': 165.19921875}	Thank you so much	329.0	{'i': 102.7277479338843, 'like': 127.12258194228659, 'to': 19.648654061849065}
2018-06-20 11:19:49	margarita	she replied to my question	I really liked it	330.0	{'repli': 286.6730083234245, 'to': 19.648654061849065, 'my': 37.77083333333334}	Thank you so much	329.0	{'repli': 286.6730083234245, 'to': 19.648654061849065}	I am closer to my mom because she understands me better, but I love my dad just as much	326.0	{'she': 83666.25, 'to': 39.29730812369813, 'my': 75.54166666666669}
2018-06-20 11:20:31	margarita	max movie	The Peak because my name is a mountain peak in Uganda and I always try to reach the peak of my potential	205.0	{'movi': 3548.53125, 'movie': 7097.0625}	Wonder Woman because I always wonder what I should do next with my life	200.0	{'movi': 3548.53125, 'movie': 7097.0625}	I love science-fiction, comedy and spooky things	147.0	{'movi': 3548.53125, 'movie': 7097.0625}
2018-06-20 11:20:50	margarita	max movie	Wonder Woman because I always wonder what I should do next with my life	200.0	{'movi': 3548.53125, 'movie': 7097.0625}	The Peak because my name is a mountain peak in Uganda and I always try to reach the peak of my potential	164.0	{'movi': 3548.53125, 'movie': 7097.0625}	I love science-fiction, comedy and spooky things	147.0	{'movi': 3548.53125, 'movie': 7097.0625}
2018-06-20 11:21:13	margarita	i forgot that she like she puts a bunch of javascript into html files	I'm not sure	276.6666666666667	{'i': 22.828388429752067, 'like': 127.12258194228659}	It was good	275.83333333333337	{'i': 22.828388429752067, 'like': 127.12258194228659}	I really liked it	275.0	{'i': 34.2425826446281, 'like': 159.92591180701083}
2018-06-20 11:21:33	margarita	yeah there's a bunch of	Not too often, because I have a lot of work and I like the life on campus, but I do sometimes try to get away	308.0	{'bunch': 801.9183673469389}	Studying at NYUAD is lovely! Good-quality people, a lot of things to do on campus, good weather and small classes with experts in the field	307.0	{'bunch': 801.9183673469389}	I skype my old friends a lot	291.0	{'bunch': 801.9183673469389}
2018-06-20 11:26:02	margarita	hello	Hello	227.0	{'hello': 167332.5}	Hey	168.0	{'hello': 83666.25}			
										
										
										
										
2018-06-20 16:11:32	margarita	for me to know	295_6be11151af2d475f7f56fe99b54183f6.mp4	1.0	{'to': 3}	My ex	1.0	{'know': 6}	Definitely Pentatonix	0.5	{'to': 3}
										
										
2018-06-20 16:22:50	margarita	okay	Well I've been playing the piano for the last 14 years or so, so I must be okay at it	301.0	{'okay': 499.5}	My parents weren't okay with me studying here at first, but later on they were okay	231.0	{'okay': 999.0}	Well, I\u2019ve been playing the piano for the last 14 years or so, so I must be okay at it	189.0	{'okay': 499.5}
										
										
2018-06-20 16:34:34	margarita	where do i know that something is a filler	Check phone messages	666.0	{'filler': 666.0}	Blink at the screen	666.0	{'filler': 666.0}	Drink coffee	666.0	{'filler': 666.0}
										
2018-06-20 16:40:13	margarita	eureka this would be the main file right so we expect it to	Well, I\u2019ve been playing the piano for the last 14 years or so, so I must be okay at it	74870.60983414688	{'be': 26.84114037524305, 'main': 74592.0, 'so': 173.3904498269896, 'it': 78.37824394463668}	Moldova was originally part of Romania, and then became part of the Russian Empire and then it became part of the Soviet Union, and then in 1991 it became independent so now we have both Romanian and Russian as our languages	41799.77069129489	{'be': 13.420570187621525, 'main': 37296.0, 'so': 115.59363321799309, 'we': 4218.0, 'it': 156.75648788927336}	Moldova was originally part of Romania, and then became part of the Russian Empire and then it became part of the Soviet Union, and then in 1991 it became independent so now we have both Romanian and Russian as our languages	41799.77069129489	{'be': 13.420570187621525, 'main': 37296.0, 'so': 115.59363321799309, 'we': 4218.0, 'it': 156.75648788927336}
2018-06-20 16:40:27	margarita	look at this loading videos of your league	I just go out with photographers and shoot for free and I get free pictures and they get to use my photos in their portfolio	55777.5	{'video': 55777.5}	I just go out with photographers and shoot for free and I get gree pictures and they get to use my photos in their portfolios	55777.5	{'video': 55777.5}	I don't have one idol. I look up to my family because they\u2019re so loving and hard-working and I look up to other musicians in terms of their art	2104.9623344565935	{'look': 2063.90625, 'your': 41.05608445659345}
										
2018-06-20 16:44:15	margarita	alone break the video song	I just go out with photographers and shoot for free and I get free pictures and they get to use my photos in their portfolio	518.0	{'break': 18.5, 'video': 499.5}	I just go out with photographers and shoot for free and I get gree pictures and they get to use my photos in their portfolios	518.0	{'break': 18.5, 'video': 499.5}	I am usually the clown in my friend groups so I think I'm extroverted, but I like to be alone as well	499.5	{'alon': 166.5, 'alone': 333.0}
										
2018-06-20 16:45:13	margarita	cuz i need to change the	I don't really regret anything because even though I've surely made many mistakes in life, without them I wouldn't be the person who I am today, so I wouldn't change a thing	28298.469625136226	{'i': 57.07097107438017, 'to': 19.648654061849065, 'chang': 9407.25, 'change': 18814.5}	I would definitely improve my short-term memory and also I would change my original hair color, which is brown, to red	28275.641236706477	{'i': 34.2425826446281, 'to': 19.648654061849065, 'chang': 9407.25, 'change': 18814.5}	Can we change the subject	19060.126853200094	{'i': 22.828388429752067, 'need': 203.14981070849112, 'to': 19.648654061849065, 'chang': 6271.5, 'change': 12543.0}
2018-06-20 16:46:19	margarita	somehow she also has a file	I am closer to my mom because she understands me better, but I love my dad just as much	83666.25	{'she': 83666.25}	Getting into NYUAD because even though I fit in well here, I\u2019m sure a lot of amazing people applied	83666.25	{'ha': 55777.5, 'has': 27888.75}	Moldovan national music is either really sad or really happy, has a lot of brass and is closely similar to Romanian music actually	83666.25	{'ha': 55777.5, 'has': 27888.75}
2018-06-20 16:46:48	margarita	i'm sure you look like when you around them	I don't really regret anything because even though I've surely made many mistakes in life, without them I wouldn't be the person who I am today, so I wouldn't change a thing	39871.2	{'sure': 2575.2, 'them': 37296.0}	My jokes can be immature sometimes, but I only make them with my friends so I guess that's very mature of me	37316.97335760998	{'you': 20.97335760998811, 'them': 37296.0}	I don't really regret anything because even though I've surely made many mistakes in life, without them I wouldn't be the person who I am today, so I wouldn't change a thing	23935.304014565998	{'sure': 2575.2, 'you': 20.97335760998811, 'them': 37296.0}
2018-06-20 16:47:27	margarita	i think just asking me through to give it a look and some you know she may have seen this before or and then you guys should just start working on the other	I do have a cat and a dog at home and their names are Mia and Oscar	222636.63585650525	{'i': 22.828388429752067, 'give': 45.75170049321654, 'you': 20.97335760998811, 'have': 103.08240997229919, 'guy': 222444.0}	I am closer to my mom because she understands me better, but I love my dad just as much	50535.11517410711	{'i': 34.2425826446281, 'just': 398.6938775510204, 'to': 39.29730812369813, 'you': 20.97335760998811, 'know': 65.73483091583742, 'she': 83666.25}	When I was 16 I read this book called Unremembered by Jessica Brody, and it was so interesting that I started reading even more than before. It was some sci-fi teenage type of book	29669.083347750282	{'i': 45.656776859504134, 'it': 156.75648788927336, 'some': 8436.0, 'you': 20.97335760998811, 'thi': 681.7633136094676, 'befor': 6271.5, 'then': 57.796816608996544, 'start': 92.1099679541238, 'this': 1363.5266272189351, 'before': 12543.0}
2018-06-20 16:51:46	margarita	if you go to static your underwear player under static	I think that my biggest accomplishment is the person that I\u2019ve become today: the fact that I\u2019ve learned to love myself the way I am while still criticizing myself enough to learn everyday from my many mistakes	27123.424041003844	{'go': 30.110648423557407, 'to': 39.29730812369813, 'static': 27012.959999999995, 'your': 41.05608445659345}	I think that my biggest accomplishment is the person that I\u2019ve become today: the fact that I\u2019ve learned to love myself the way I am while still criticizing myself enough to learn everyday from my many mistakes	27123.424041003844	{'go': 30.110648423557407, 'to': 39.29730812369813, 'static': 27012.959999999995, 'your': 41.05608445659345}	Oh my god, yes! Somebody once wrote anonymously a long post in an online group meant for compliments, and I still have no idea who that was	27023.446678804987	{'you': 10.486678804994055, 'static': 27012.959999999995}
										
										
2018-06-21 07:45:25	margarita	wow	Well everyone in Moldova speaks Romanian and Russian, and the rest of the languages I learned either in school or at the university	667332.0	{'wow': 667332.0}						
										
										
										
										
										
2018-06-21 07:54:20	margarita	song	My first songs were Moldovan national songs and some Russian pop music, but the first song in English that I fell in love with was when I was six years old was Beyonce's Irreplaceable	253.1578947368421	{'song': 253.1578947368421}	'Hora Din Moldova' which is a national Moldovan song about dancing	181.10526315789474	{'song': 181.10526315789474}	I find it easier to write songs in English and Romanian, but I don't mind the other languages either	144.10526315789474	{'song': 144.10526315789474}
										
										
										
2018-06-21 08:00:45	margarita	hello	Hello	999.0	{'hello': 999.0}	Hey	499.5	{'hello': 499.5}			
2018-06-21 08:00:55	margarita	hello	Hello	599.4	{'hello': 999.0}	Hey	499.5	{'hello': 499.5}			
										
2018-06-21 08:02:07	margarita	hello	Hello	999.0	{'hello': 999.0}	Hey	499.5	{'hello': 499.5}			
2018-06-21 08:02:14	margarita	where you from	I am from Moldova	188.43544624746448	{'where': 66.6, 'you': 4.306034482758621, 'from': 117.52941176470588}	I'm from Eastern Europe	188.43544624746448	{'where': 66.6, 'you': 4.306034482758621, 'from': 117.52941176470588}	Abu Dhabi is one of the emirates or cities of the United Arab Emirates and it\u2019s also its capital, and it's a 2-hour drive from Dubai	125.36470588235295	{'where': 66.6, 'from': 58.76470588235294}
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
2018-06-21 10:15:46	margarita	hello	Hello	68.0	{'hello': 204}	Hey	34.0	{'hello': 102}			
										
										
										
										
										
						
										
										
										
										
										
										
										
										
										
										
										
										
										
	
										
										
										
										
										
